Clip,Escena,Duracion_s,Plano,Recurso,Emocion,Prompt_Imagen_Final,Prompt_Video_Final,Prompt_Negativo
1,1,8,vista aérea,reconstrucción,asombro,"Gran Muralla China, antigua China imperial historica. Gran Muralla serpenteando sobre montañas brumosas al amanecer, perdiéndose en el horizonte infinito, luz dorada rasante, ultrarrealista, 8K. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling aéreo lento avanzando sobre la muralla entre cumbres con niebla, luz dorada en movimiento, escala monumental, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
2,1,8,detalle / contrapicado,reconstrucción,misterio,"Gran Muralla China, antigua China imperial historica. Base de la muralla con piedras antiguas musgosas, ligera bruma a ras de suelo, atmósfera solemne y sombría, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Cámara baja deslizándose junto al muro, partículas de polvo flotando, luz tenue filtrándose, tono inquietante, realista. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
3,1,8,plano general,reconstrucción,tensión,"Gran Muralla China, antigua China imperial historica. Ejército chino imperial antiguo diminuto al pie de una muralla colosal e inexpugnable, estandartes, cielo plomizo, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano general chino estático con leve push-in hacia la muralla mientras sombras de tropas chinas se mueven abajo, tensión creciente, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
4,1,8,contrapicado,reconstrucción,revelación,"Gran Muralla China, antigua China imperial historica. Enorme puerta de madera y hierro de una fortaleza de la muralla, una rendija de luz entre las hojas, antorchas, contrapicado imponente, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. La puerta monumental comienza a abrirse lentamente, luz derramándose por la rendija, polvo en suspensión, suspenso, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
5,2,8,vista aérea,reconstrucción,grandeza,"Gran Muralla China, antigua China imperial historica. Vista aérea épica de la muralla recorriendo varias cadenas montañosas al atardecer, torres a lo largo, ultrarrealista, 8K. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron siguiendo la muralla hacia el horizonte, nubes desplazándose, luz cálida, majestuoso y cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
6,2,8,primer plano,detalle arqueológico,intriga,"Gran Muralla China, antigua China imperial historica. Manos imperiales con anillos sobre un mapa antiguo de China, luz de vela, texturas de pergamino, ultrarrealista, íntimo. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Primer plano de un dedo recorriendo la frontera norte en el mapa, llama de vela parpadeando, atmósfera de intriga, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
7,2,8,plano general,reconstrucción,contraste,"Gran Muralla China, antigua China imperial historica. Multitud incontable de obreros anónimos cargando piedras en una ladera infinita, cielo gris, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling lateral revelando filas interminables de trabajadores, polvo y viento, tono solemne, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
8,2,8,contrapicado,reconstrucción,misterio,"Gran Muralla China, antigua China imperial historica. Silueta de la puerta de Shanhaiguan recortada contra un cielo tormentoso junto al mar, atmósfera de presagio, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Push-in lento hacia la puerta cerrada bajo nubes en movimiento, relámpago lejano, tensión, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
9,3,8,vista cenital,mapa / animación,contexto,"Gran Muralla China, antigua China imperial historica. Mapa antiguo estilizado de China hace 2.500 años, tonos sepia y dorado, montañas y ríos dibujados a mano, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vista cenital descendiendo sobre el mapa antiguo mientras se iluminan los nombres de los reinos, elegante y fluido. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
10,3,8,plano general,mapa / animación,tensión,"Gran Muralla China, antigua China imperial historica. Mapa con siete reinos delimitados por fronteras rojas pulsantes, estandartes de guerra, estética de pergamino, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Las fronteras laten en rojo y ejércitos-sombra avanzan entre reinos, atmósfera tensa, movimiento de cámara sutil. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
