Orden,Tipo,N_tipo,Bloque,Movimiento,Prompt_Final,Prompt_Negativo,Narracion
1,IMG,1,N1,zoom-in lento,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vista panorámica aérea de Pompeya viva al amanecer dorado, tejados rojos, el Vesubio sereno al fondo, bahía azul. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En menos de veinticuatro horas, esta ciudad dejará de existir. Veinte mil personas despiertan hoy sin saber que es su último amanecer"
2,IMG,2,N1,paneo lateral,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. calle empedrada despertando, primeros comerciantes abriendo puestos, luz cálida rasante. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En menos de veinticuatro horas, esta ciudad dejará de existir. Veinte mil personas despiertan hoy sin saber que es su último amanecer"
3,IMG,3,N1,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. silueta del Vesubio dominando el horizonte sobre los tejados dormidos. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En menos de veinticuatro horas, esta ciudad dejará de existir. Veinte mil personas despiertan hoy sin saber que es su último amanecer"
4,CLIP,1,N1,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling aéreo lento sobre Pompeya despertando, humo de hogares subiendo, el Vesubio en calma al fondo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En menos de veinticuatro horas, esta ciudad dejará de existir. Veinte mil personas despiertan hoy sin saber que es su último amanecer"
5,CLIP,2,N1,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano general de una plaza con ciudadanos romanos iniciando el día, leve push-in hacia el volcán ominoso. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En menos de veinticuatro horas, esta ciudad dejará de existir. Veinte mil personas despiertan hoy sin saber que es su último amanecer"
6,IMG,4,N2,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. el Vesubio verde y enorme bajo cielo despejado, una finísima columna de vapor en la cima. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",El monte que ven al fondo… es una bomba a punto de estallar. Y lo más escalofriante es que tuvieron tiempo de escapar… Soy Elara
7,IMG,5,N2,zoom-in dramático,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. reloj de sol romano proyectando sombra en una pared de mármol. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",El monte que ven al fondo… es una bomba a punto de estallar. Y lo más escalofriante es que tuvieron tiempo de escapar… Soy Elara
8,IMG,6,N2,fijo con leve zoom,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. texto en pantalla ""FALTAN 18 HORAS"" sobre el volcán difuminado, tipografía romana. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",El monte que ven al fondo… es una bomba a punto de estallar. Y lo más escalofriante es que tuvieron tiempo de escapar… Soy Elara
9,CLIP,3,N2,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. contrapicado lento hacia la cima serena del Vesubio, vapor casi imperceptible, tensión latente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",El monte que ven al fondo… es una bomba a punto de estallar. Y lo más escalofriante es que tuvieron tiempo de escapar… Soy Elara
10,CLIP-ELARA,4,N2,video 8s,"ELARA (usar imagen base de Elara, ver guia-imagenes-base.md). Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. usar imagen base de Elara, de pie en una colina con Pompeya viva y el Vesubio detrás, vestida con su gabardina camel, luz dorada; mira a cámara y presenta el video (""Soy Elara, y hoy vamos a vivir, hora a hora, las últimas 24 horas de Pompeya""). Push-in suave de plano general a plano medio. (Sincronizar voz en off en edición.) Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",El monte que ven al fondo… es una bomba a punto de estallar. Y lo más escalofriante es que tuvieron tiempo de escapar… Soy Elara
