clip,inicio,fin,tipo,elara_id,estado,bloque,narracion,prompt
1,00:00,00:09,Video,,HECHO,B1 Hook,"En una sola noche, sin una gran batalla, sin años de asedio, sin un ejército que resistiera hasta el último hombre, el","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. gran plano general nocturno de las murallas colosales de Babilonia iluminadas por antorchas, todo en calma y silencio bajo la luna, leve niebla al ras del río. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
2,00:09,00:17,Imagen,,HECHO,B1 Hook,"imperio más poderoso del mundo conocido dejó de existir. Una civilización que había dominado ríos, montañas, pueblos y dioses durante siglos","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. una única antorcha ardiendo en un puesto de guardia vacío sobre la muralla, nadie vigilando. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
3,00:17,00:26,Imagen,,HECHO,B1 Hook,"se apagó como una llama bajo la lluvia. Y cuando el sol volvió a salir sobre las murallas de Babilonia, la ciudad","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. la ciudad dorada dormida vista desde el aire de noche, el gran zigurat recortado contra el cielo estrellado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
4,00:26,00:34,Video,,HECHO,B1 Hook,seguía en pie… pero ya no era el centro del universo. Ya no era nada de lo que había sido. Y,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. una gran puerta de madera y bronce de la muralla entreabriéndose lentamente desde dentro, sin nadie forzándola, luz de antorcha filtrándose por la rendija. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
5,00:34,00:43,Imagen,,HECHO,B1 Hook,"lo más inquietante de esta historia es que nadie derribó sus muros. Nadie los escaló. Alguien, simplemente, abrió la puerta desde dentro.","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. detalle de una mano abriendo el cerrojo de una puerta monumental desde el interior, penumbra. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
6,00:43,00:50,Elara,E1,HECHO,B1 Hook,"Soy Elara, y esta noche vamos a vivir, hora a hora, la última noche de Babilonia.","ELARA (subir imagen base `elara-avatar-referencia.jpg` como Ingredient; vestuario Babilonia: blusa crema, chaqueta rosa palo, pañuelo azul lapislázuli, zapatos de tacón de aguja de punta fina color nude). Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. Elara ante la Puerta de Ishtar de noche, presenta el video (hook). Ver prompt de video rico y su línea hablada en `babilonia-elara-clips-flow.md`. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
7,00:50,00:58,Imagen,,HECHO,B2 Mesopotamia,"La noche en que la ciudad más grande de la Tierra decidió no defenderse. Para entender lo que se perdió,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. vista aérea de la llanura fértil entre los ríos Éufrates y Tigris al amanecer, campos de cultivo, canales de riego brillando. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
8,00:58,01:05,Imagen,,HECHO,B2 Mesopotamia,primero hay que ver lo que existía. Olvida por un momento los montículos de arena que hoy se ven,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. caravana de viajeros y camellos acercándose por el desierto hacia una ciudad dorada en el horizonte. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
9,01:05,01:13,Video,,HECHO,B2 Mesopotamia,"en el desierto de Irak. Viaja conmigo unos dos mil quinientos años atrás, a la llanura entre dos ríos legendarios,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling bajo siguiendo a viajeros polvorientos que se detienen asombrados al ver por primera vez las murallas y torres de Babilonia recortadas contra el cielo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
10,01:13,01:21,Imagen,,HECHO,B2 Mesopotamia,"el Éufrates y el Tigris, a la región que los griegos llamarían Mesopotamia: la tierra entre los ríos. Y","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. reflejo de Babilonia dorada temblando sobre las aguas del Éufrates, como una visión irreal. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
